Nº,   Fecha,       (Lugar),         Partidos,      resultado,   Competición
218,27-02-2000,(Madrid).  ,R. Madrid - Barcelona,3-0,Cto. de Liga(26?)
219,21-10-2000,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga 
220,03-03-2001,(Madrid)   ,R. Madrid - Barcelona,2-2,Cto. de Liga(25?) 
221,04-11-2001,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(11?)
222,16-03-2002,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(30?)
223,23-04-2002,(Barcelona),Barcelona - R. Madrid,0-2,Champion-ida-semif.
224,01-05-2002,(Madrid)   ,R. Madrid - Barcelona,1-1,Champion-vuelta-semif.
225,24-11-2002,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga-1?v.
226,20-04-2003,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga-2?v.
227,07-12-2003,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga-1?v.
228,25-04-2004,(Madrid)   ,R. Madrid - Barcelona,1-2,Cto. de Liga-2?v.
229,21-11-2004,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga-1?v.
230,10-04-2005,(Madrid)   ,R. Madrid - Barcelona,4-2,Cto. de Liga-2?v.
231,19-11-2005,(Madrid)   ,R. Madrid - Barcelona,0-3,Cto. de Liga-1?v.
232,01-04-2006,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga-2?v. 
233,22-10-2006,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga-1?v.
234,11-03-2007,(Barcelona),Barcelona - R. Madrid,3-3,Cto. de Liga-2?v.
235,23-12-2007,(Barcelona),Barcelona - R. Madrid,0-1,Cto. de Liga-1?v.
236,07-05-2008,(Madrid)   ,R. Madrid - Barcelona,4-1,Cto. de Liga-2?v.
237,13-12-2008,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga-1?v.
238,02-05-2009,(Madrid)   ,R. Madrid - Barcelona,2-6,Cto. de Liga-2?v.
239,29-11-2009,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga-1?v.
240,10-04-2010,(Madrid)   ,R. Madrid - Barcelona,0-2,Cto. de Liga-2?v
241,29-11-2010,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga-1?v.
242,16-04-2011,(Madrid)   ,R.Madrid  - Barcelona,1-1,Cto. de Liga-2?v. 
243,20-04-2011,(Valencia) ,R.Madrid  - Barcelona,1-0,Final Copa del Rey
244,27-04-2011,(Madrid)   ,R. Madrid - Barcelona,0-2,Semifi.Champio.ida
245,03-05-2011,(Barcelona),Barcelona - R. Madrid,1-1,Semifi.Champio.Vue.
246,14-08-2011,(Madrid)   ,R. Madrid - Barcelona,2-2,S.Copa Espa?a.ida
247,17-08-2011,(Barcelona),Barcelona - R. Madrid,3-2, S.Copa Espa?a.Vue.
248,10-12-2011,(Madrid)   ,R. Madrid - Barcelona,1-3,Cto. de Liga(1?v.
249,18-01-2012,(Madrid)   ,R. Madrid - Barcelona,1-2,Copa Rey 4?f.ida
250,25-01-2012,(Barcelona),Barcelona - R. Madrid,2-2,Copa Rey 4?f.Vue.
251,21-04-2012,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga 2?v.
252,23-08-2012,(Barcelona),Barcelona - R.Madrid ,3-2,S.Copa Espa?a Ida
253,23-08-2012,(Madrid)   ,R.Madrid  - Barcelona,2-1,S.Copa Espa?a Vu.
254,07-10-2012,(Barcelona),Barcelona - R.Madrid ,2-2,Cto. de Liga-1?V.
255,30-01-2013,(Madrid)   ,R.Madrid  - Barcelona,1-1,Copa Rey Semi.ida
256,26-02-2013,(Barcelona),Barcelona - R. Madrid,1-3,Copa Rey Semi.Vue.
257,02-03-2013,(Madrid)   ,R.Madrid  - Barcelona,2-1,Cto. de Liga-2?v.
258,26-10-2013,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga-1?v.
259,23-03-2014,(Madrid)   ,R.Madrid  - Barcelona,3-4,Cto. de Liga-2!v.
260,16-04-2014,(Valencia ),Barcelona - R. Madrid,1-2,Final Copa del Rey
